,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,0.016286644951140065,0.1125,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,0.12866449511400652,0.0001,Diesel
2,Hyundai Grand i10,Hyundai,2014,0.09609120521172639,0.07,Petrol
3,Ford EcoSport Titanium,Ford,2014,0.1775244299674267,0.09000000000000001,Diesel
4,Ford Figo,Ford,2012,0.04723127035830618,0.10250000000000001,Diesel
5,Hyundai Eon,Hyundai,2013,0.052117263843648204,0.0625,Petrol
6,Ford EcoSport Ambiente,Ford,2016,0.26058631921824105,0.061325000000000005,Diesel
7,Maruti Suzuki Alto,Maruti,2015,0.07166123778501628,0.15000000000000002,Petrol
8,Skoda Fabia Classic,Skoda,2010,0.049511400651465795,0.15000000000000002,Petrol
9,Maruti Suzuki Stingray,Maruti,2015,0.09283387622149837,0.07500000000000001,Petrol
10,Hyundai Elite i20,Hyundai,2014,0.1254071661237785,0.08,Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,0.09446254071661238,0.12165000000000001,Diesel
12,Audi A8,Audi,2017,0.31596091205211724,0.01,Petrol
13,Audi Q7,Audi,2014,0.1530944625407166,0.042335000000000005,Diesel
14,Mahindra Scorpio S10,Mahindra,2016,0.10423452768729641,0.10750000000000001,Diesel
15,Maruti Suzuki Alto,Maruti,2014,0.042345276872964174,0.08887500000000001,Petrol
16,Mahindra Scorpio S10,Mahindra,2016,0.09120521172638436,0.098805,Diesel
17,Maruti Suzuki Alto,Maruti,2015,0.014657980456026058,0.0975,Petrol
18,Hyundai i20 Sportz,Hyundai,2012,0.02280130293159609,0.1375,Petrol
19,Maruti Suzuki Alto,Maruti,2017,0.052117263843648204,0.18000000000000002,Petrol
20,Maruti Suzuki Vitara,Maruti,2016,0.08469055374592833,0.0399375,Diesel
21,Maruti Suzuki Alto,Maruti,2008,0.021172638436482084,0.17500000000000002,Petrol
22,Mahindra Bolero DI,Mahindra,2017,0.04885993485342019,0.05863,Diesel
23,Maruti Suzuki Swift,Maruti,2014,0.11563517915309446,0.08880500000000001,Diesel
24,Mahindra Scorpio S10,Mahindra,2015,0.07166123778501628,0.12127000000000002,Diesel
25,Maruti Suzuki Swift,Maruti,2017,0.04885993485342019,0.0387175,Petrol
26,Maruti Suzuki Wagon,Maruti,2013,0.024429967426710098,0.0975,Petrol
27,Maruti Suzuki Wagon,Maruti,2013,0.024429967426710098,0.0975,Petrol
28,Toyota Innova 2.0,Toyota,2012,0.20195439739413681,0.20500000000000002,Diesel
29,Renault Lodgy 85,Renault,2018,0.21498338762214983,0.05,Diesel
30,Skoda Yeti Ambition,Skoda,2012,0.13615635179153093,0.17,Diesel
31,Maruti Suzuki Baleno,Maruti,2017,0.16905537459283387,0.08,Diesel
32,Renault Duster 110,Renault,2012,0.15342019543973942,0.095,Diesel
33,Renault Duster 85,Renault,2013,0.14983680781758957,0.0675,Diesel
34,Honda City 1.5,Honda,2011,0.08143322475570032,0.0825,Petrol
35,Maruti Suzuki Dzire,Maruti,2013,0.10423420195439739,0.115,Diesel
36,Honda Amaze,Honda,2013,0.08306156351791531,0.115,Diesel
37,Honda Amaze 1.5,Honda,2015,0.1026058631921824,0.09000000000000001,Diesel
38,Honda City,Honda,2015,0.15309413680781758,0.1375,Petrol
39,Datsun Redi GO,Datsun,2017,0.06677524429967427,0.04,Petrol
40,Maruti Suzuki SX4,Maruti,2010,0.07166091205211726,0.09000000000000001,Petrol
41,Mitsubishi Pajero Sport,Mitsubishi,2015,0.47068403908794787,0.11750000000000001,Diesel
42,Mahindra Scorpio S10,Mahindra,2015,0.11889250814332247,0.08750000000000001,Diesel
43,Maruti Suzuki Swift,Maruti,2017,0.06188925081433225,0.077185,Petrol
44,Honda City ZX,Honda,2017,0.04560260586319219,0.037500000000000006,Diesel
45,Maruti Suzuki Wagon,Maruti,2013,0.017915309446254073,0.0742125,Petrol
46,Tata Indigo eCS,Tata,2017,0.05537459283387622,0.325,Diesel
47,Mahindra Scorpio SLE,Mahindra,2012,0.1758957654723127,0.0475,Diesel
48,Volkswagen Polo Highline,Volkswagen,2014,0.09283387622149837,0.15000000000000002,Petrol
49,Chevrolet Spark LS,Chevrolet,2010,0.026058631921824105,0.10250000000000001,Petrol
50,Renault Duster 110PS,Renault,2012,0.15342019543973942,0.08750000000000001,Diesel
51,Honda City,Honda,2015,0.13648175895765471,0.135,Petrol
52,Mini Cooper S,Mini,2013,0.6062250814332247,0.0325,Petrol
53,Skoda Fabia 1.2L,Skoda,2011,0.04218241042345276,0.0955,Diesel
54,Honda Amaze,Honda,2015,0.10260553745928339,0.05500000000000001,Petrol
55,Renault Duster,Renault,2014,0.1368074918566775,0.125,Diesel
56,Mini Cooper S,Mini,2013,0.6062250814332247,0.03375,Petrol
57,Mahindra Scorpio S4,Mahindra,2015,0.2719869706840391,0.07500000000000001,Diesel
58,Mahindra Scorpio VLX,Mahindra,2014,0.21791530944625406,0.125,Diesel
59,Mahindra Quanto C8,Mahindra,2013,0.11237785016286644,0.05,Diesel
60,Ford EcoSport,Ford,2017,0.14983680781758957,0.0975,Petrol
61,Honda Brio,Honda,2012,0.06351758957654723,0.07500000000000001,Petrol
62,Volkswagen Vento Highline,Volkswagen,2019,0.3811074918566775,0.009000000000000001,Diesel
63,Hyundai i20 Magna,Hyundai,2009,0.05374592833876221,0.08,Petrol
64,Toyota Corolla Altis,Toyota,2010,0.10456026058631922,0.095,Diesel
65,Hyundai Verna Transform,Hyundai,2008,0.042345276872964174,0.1125,Petrol
66,Toyota Corolla Altis,Toyota,2009,0.06840390879478828,0.08750000000000001,Petrol
67,Honda City 1.5,Honda,2005,0.019543973941368076,0.125,Petrol
68,Skoda Fabia 1.2L,Skoda,2011,0.04071661237785017,0.11465750000000001,Diesel
69,BMW 3 Series,BMW,2011,0.18566775244299674,0.15125000000000002,Petrol
70,Maruti Suzuki A,Maruti,2011,0.051954397394136806,0.03125,Petrol
71,Toyota Etios GD,Toyota,2013,0.10423452768729641,0.15000000000000002,Diesel
72,Ford Figo Diesel,Ford,2012,0.05863192182410423,0.08750000000000001,Diesel
73,Maruti Suzuki Swift,Maruti,2014,0.11726384364820847,0.08750000000000001,Petrol
74,Chevrolet Beat LT,Chevrolet,2012,0.03420195439739414,0.1125,Diesel
75,BMW 7 Series,BMW,2009,0.511400651465798,0.08750000000000001,Petrol
76,Mahindra XUV500 W8,Mahindra,2013,0.21856677524429968,0.095,Diesel
77,Hyundai i10 Magna,Hyundai,2014,0.0765472312703583,0.045000000000000005,Petrol
78,Hyundai Verna Fluidic,Hyundai,2015,0.16123778501628663,0.08750000000000001,Diesel
79,Maruti Suzuki Swift,Maruti,2013,0.11140065146579804,0.0333725,Petrol
80,Maruti Suzuki Ertiga,Maruti,2016,0.1970684039087948,0.07250000000000001,Petrol
81,Ford EcoSport Titanium,Ford,2014,0.16938110749185667,0.11000000000000001,Diesel
82,Maruti Suzuki Ertiga,Maruti,2016,0.1775244299674267,0.07250000000000001,Petrol
83,Maruti Suzuki Ertiga,Maruti,2013,0.1482084690553746,0.10500000000000001,Diesel
84,Maruti Suzuki Alto,Maruti,2012,0.04071661237785017,0.035,Petrol
85,Hyundai Grand i10,Hyundai,2014,0.1026058631921824,0.12250000000000001,Diesel
86,Honda Amaze 1.2,Honda,2014,0.09609120521172639,0.10500000000000001,Petrol
87,Hyundai i20 Asta,Hyundai,2012,0.09755700325732898,0.09050000000000001,Diesel
88,Ford Figo Diesel,Ford,2014,0.05374592833876221,0.125,Diesel
89,Maruti Suzuki Eeco,Maruti,2015,0.07202312703583061,0.1375,Petrol
90,Maruti Suzuki Ertiga,Maruti,2014,0.17589543973941368,0.1125,Petrol
91,Maruti Suzuki Esteem,Maruti,2007,0.01302899022801303,0.1275,Petrol
92,Maruti Suzuki Ritz,Maruti,2014,0.08794755700325732,0.0475,Petrol
93,Maruti Suzuki Dzire,Maruti,2009,0.06188925081433225,0.115,Petrol
94,Maruti Suzuki Ritz,Maruti,2013,0.12052084690553747,0.0825,Diesel
95,Maruti Suzuki Dzire,Maruti,2015,0.13680781758957655,0.26,Diesel
96,Toyota Etios Liva,Toyota,2014,0.0781758957654723,0.1375,Petrol
97,Hyundai i20 Sportz,Hyundai,2011,0.10423452768729641,0.0833325,Diesel
98,Chevrolet Spark,Chevrolet,2012,0.04182410423452769,0.084,Petrol
99,Maruti Suzuki Alto,Maruti,2017,0.10423452768729641,0.014,Petrol
100,Nissan Micra XV,Nissan,2011,0.048534201954397393,0.10250000000000001,Petrol
101,Maruti Suzuki Swift,Maruti,2007,0.03094462540716612,0.17500000000000002,Petrol
102,Maruti Suzuki Alto,Maruti,2018,0.05537459283387622,0.018750000000000003,Petrol
103,Honda Amaze 1.5,Honda,2013,0.08762214983713355,0.1125,Diesel
104,Maruti Suzuki Alto,Maruti,2015,0.06188925081433225,0.095,Petrol
105,Chevrolet Beat,Chevrolet,2015,0.03908794788273616,0.07500000000000001,Petrol
106,Honda City 1.5,Honda,2010,0.08306188925081433,0.08750000000000001,Petrol
107,Ford EcoSport Trend,Ford,2016,0.26058631921824105,0.060825000000000004,Diesel
108,Hyundai i20 Asta,Hyundai,2009,0.05863192182410423,0.1637,Petrol
109,Maruti Suzuki Swift,Maruti,2013,0.10097719869706841,0.10250000000000001,Petrol
110,Tata Indica V2,Tata,2006,0.019543973941368076,0.05,Petrol
111,Hindustan Motors Ambassador,Hindustan,2000,0.013029315960912051,0.5,Diesel
112,Toyota Corolla Altis,Toyota,2010,0.0846902280130293,0.17500000000000002,Petrol
113,Toyota Corolla Altis,Toyota,2012,0.10423420195439739,0.14750000000000002,Petrol
114,Toyota Innova 2.5,Toyota,2012,0.26710065146579803,0.24750000000000003,Diesel
115,Volkswagen Jetta Highline,Volkswagen,2014,0.23452736156351792,0.115,Diesel
116,Volkswagen Polo Comfortline,Volkswagen,2015,0.12052084690553747,0.007,Petrol
117,Volkswagen Polo,Volkswagen,2014,0.0798042345276873,0.08,Petrol
118,Mahindra Scorpio,Mahindra,2015,0.31107459283387623,0.05500000000000001,Diesel
119,Nissan Sunny,Nissan,2012,0.06351758957654723,0.1125,Petrol
120,Hyundai Elite i20,Hyundai,2018,0.18566742671009773,0.052500000000000005,Petrol
121,Renault Kwid,Renault,2016,0.07003224755700325,0.027500000000000004,Petrol
122,Renault Duster,Renault,2013,0.12052084690553747,0.10250000000000001,Diesel
123,Renault Duster,Renault,2014,0.14495081433224755,0.125,Diesel
124,Mahindra Scorpio VLX,Mahindra,2011,0.15309413680781758,0.165,Diesel
125,Maruti Suzuki Alto,Maruti,2018,0.09120521172638436,0.007500000000000001,Petrol
126,Chevrolet Spark LT,Chevrolet,2010,0.017915309446254073,0.1125,Petrol
127,Datsun Redi GO,Datsun,2016,0.07003257328990228,0.0175,Petrol
128,Maruti Suzuki Swift,Maruti,2010,0.051954397394136806,0.09625,Diesel
129,Fiat Punto Emotion,Fiat,2012,0.04543973941368078,0.09300000000000001,Diesel
130,Maruti Suzuki Swift,Maruti,2010,0.04218241042345276,0.10800000000000001,Diesel
131,Toyota Etios GD,Toyota,2013,0.07980456026058631,0.062000000000000006,Petrol
132,Hyundai i20 Sportz,Hyundai,2014,0.11074918566775244,0.15000000000000002,Diesel
133,Hyundai i10 Sportz,Hyundai,2010,0.04495114006514658,0.11468,Petrol
